name,price,url,image_url,image_path,category,pet_type
Pedigree Meat & Rice Adult Dry Dog Food,252.86,https://headsupfortails.com/products/pedigree-adult-dog-food-meat-rice,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/8906002482948_1kg_91ab877c-a016-416e-947f-66c53387bb01.jpg?v=1744608874,dog_food_images\Pedigree_Meat___Rice_Adult_Dry_Dog_Food.jpg,Dry Food,Dog
Farmina N&D Ancestral Grain Starter Puppy Food - Chicken & Pomegranate (All Breeds),818.80,https://headsupfortails.com/products/farmina-n-d-low-grain-chicken-pomegranate-starter-puppy-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FarminaN_DLowGrainStarterPuppyFood-Chicken_Pomegranate-AllBreeds.jpg?v=1743766536,dog_food_images\Farmina_N_D_Ancestral_Grain_Starter_Puppy_Food___C.jpg,Dry Food,Dog
Royal Canin German Shepherd Puppy Dry Food,1012.00,https://headsupfortails.com/products/royal-canin-german-shepherd-puppy-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/GermanShepherdPuppy-1.png?v=1743273614,dog_food_images\Royal_Canin_German_Shepherd_Puppy_Dry_Food.png,Dry Food,Dog
Farmina N&D Pumpkin Chicken & Pomegranate Grain Free Adult Medium & Maxi Breed Dry Dog Food,2346.00,https://headsupfortails.com/products/farmina-n-d-grain-free-chicken-pomegranate-adult-medium-maxi-breed-dog-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FARMIN_3.jpg?v=1743766497,dog_food_images\Farmina_N_D_Pumpkin_Chicken___Pomegranate_Grain_Fr.jpg,Dry Food,Dog
Drools Focus Starter Super Premium Dry Dog Food,638.00,https://headsupfortails.com/products/drools-focus-starter-super-premium-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/8906043142122_1.png?v=1655205104,dog_food_images\Drools_Focus_Starter_Super_Premium_Dry_Dog_Food.png,Dry Food,Dog
Farmina N&D Ancestral Grain Mini Breed Dry Puppy Food - Chicken & Pomegranate,818.80,https://headsupfortails.com/products/farmina-n-d-low-grain-chicken-pomegranate-mini-breed-puppy-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FarminaN_DLowGrainMiniBreedDryPuppyFood-Chicken_Pomegranate.jpg?v=1743766522,dog_food_images\Farmina_N_D_Ancestral_Grain_Mini_Breed_Dry_Puppy_F.jpg,Dry Food,Dog
Royal Canin Mini Puppy Dry Dog Food,902.00,https://headsupfortails.com/products/royal-canin-mini-breed-junior-food-for-puppies-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/3182550792929_01.jpg?v=1743273558,dog_food_images\Royal_Canin_Mini_Puppy_Dry_Dog_Food.jpg,Dry Food,Dog
Pedigree PRO Expert Nutrition Active Adult Dry Dog Food,478.40,https://headsupfortails.com/products/pedigree-pro-expert-nutrition-active-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/FOP-3kg_91d75dff-ef73-4ca1-8fff-7983e8d05db2.jpg?v=1744608856,dog_food_images\Pedigree_PRO_Expert_Nutrition_Active_Adult_Dry_Dog.jpg,Dry Food,Dog
Royal Canin Medium Puppy Dry Dog Food,956.80,https://headsupfortails.com/products/royal-canin-medium-puppy-dry-dog-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/3182550402439_01.jpg?v=1743273652,dog_food_images\Royal_Canin_Medium_Puppy_Dry_Dog_Food.jpg,Dry Food,Dog
Pedigree PRO Expert Nutrition Lactating/Pregnant Mother & Puppy Starter (3-12 Weeks) Large Breed Dog Dry Food,588.80,https://headsupfortails.com/products/pedigree-pro-expert-nutrition-lactating-pregnant-mother-puppy-starter-3-12-weeks-large-breed-dog-dry-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/7171241-1_PedigreeProSMPLargeBreed1.2kg_FOP.jpg?v=1744608571,dog_food_images\Pedigree_PRO_Expert_Nutrition_Lactating_Pregnant_M.jpg,Dry Food,Dog
