name,price,url,image_url,image_path,category,pet_type
Whiskas Ocean Fish Dry Food For Mother & Baby(Kitten),216.20,https://headsupfortails.com/products/whiskas-ocean-fish-kitten-mother-baby-cat-dry-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/8853301140799_2.jpg?v=1744608879,cat_images\Whiskas Ocean Fish Dry Food For Mother & Baby(Kitt.jpg,Cat Dry Food,Cat
Signature Grain Zero Persian And Long Coat Dry Cat Food,414.00,https://headsupfortails.com/products/signature-grain-zero-persian-and-long-coat-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Persian1-2kg-Front.jpg?v=1668677994,cat_images\Signature Grain Zero Persian And Long Coat Dry Cat.jpg,Cat Dry Food,Cat
Farmina N&D Prime Chicken & Pomegranate Neutered Adult Grain Free Dry Cat Food,731.40,https://headsupfortails.com/products/farmina-n-d-prime-chicken-pomegranate-neutered-adult-grain-free-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/FarminaN_DPrimeChicken_PomegranateNeuteredAdultGrainFreeDryCatFood.jpg?v=1743766467,cat_images\Farmina N&D Prime Chicken & Pomegranate Neutered A.jpg,Cat Dry Food,Cat
Farmina Matisse Premium Salmon Dry Cat Food for Neutered Cats - 1.5 kg,1260.40,https://headsupfortails.com/products/matisse-premium-dry-cat-food-neutered-salmon,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/FarminaMatissePremiumSalmonDryCatFoodforNeuteredCats.jpg?v=1743766544,cat_images\Farmina Matisse Premium Salmon Dry Cat Food for Ne.jpg,Cat Dry Food,Cat
Whiskas Mackerel Flavour Dry Food For (2-12 Months) Kitten,216.20,https://headsupfortails.com/products/whiskas-mackerel-flavour-dry-kitten-food-2-12-months,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/8853301001915_2.jpg?v=1744608782,cat_images\Whiskas Mackerel Flavour Dry Food For (2-12 Months.jpg,Cat Dry Food,Cat
Royal Canin Home Life Indoor 27 Dry Cat Food - 2 kg,1812.80,https://headsupfortails.com/products/royal-canin-home-life-indoor-27-cat-food-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Indoor27-1.jpg?v=1743273635,cat_images\Royal Canin Home Life Indoor 27 Dry Cat Food - 2 k.jpg,Cat Dry Food,Cat
Drools Real Chicken Dry Food For Cat,721.65,https://headsupfortails.com/products/drools-real-chicken-food-for-cat-3kg,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/1_20dbcabf-0b84-4ba3-bb89-50aabcdf7df5.png?v=1655277779,cat_images\Drools Real Chicken Dry Food For Cat.jpg,Cat Dry Food,Cat
Royal Canin Sterilised/Neutered Adult Cat Dry Food,570.40,https://headsupfortails.com/products/royal-canin-sterilised-37-dry-cat-food-2-kg,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/RoyalCaninSterilisedNeuteredAdultDryCatFood-2kg_b3ed25ab-98a3-4012-af3f-ccfd0f05306c.jpg?v=1743273545,cat_images\Royal Canin SterilisedNeutered Adult Cat Dry Food.jpg,Cat Dry Food,Cat
Drools Adult (+1 Year) Ocean Fish Dry Cat Food,297.50,https://headsupfortails.com/products/drools-adult-1-year-ocean-fish-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/8906125481507-1.png?v=1681819208,cat_images\Drools Adult (+1 Year) Ocean Fish Dry Cat Food.jpg,Cat Dry Food,Cat
Royal Canin Hairball Care Dry Cat Food,496.80,https://headsupfortails.com/products/royal-canin-hairball-care-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/HairballCare-1.png?v=1743273496,cat_images\Royal Canin Hairball Care Dry Cat Food.jpg,Cat Dry Food,Cat
Farmina N&D Quinoa Digestion Grain Free Lamb Fennel & Mint Adult Dry Cat Food,2107.60,https://headsupfortails.com/products/farmina-n-d-quinoa-digestion-grain-free-lamb-fennel-mint-adult-dry-cat-food-1-5-kg,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/FarminaN_DQuinoaDigestionGrainFreeLambFennel_MintAdultDryCatFood.jpg?v=1743766434,cat_images\Farmina N&D Quinoa Digestion Grain Free Lamb Fenne.jpg,Cat Dry Food,Cat
Royal Canin Kitten Dry Cat Food,423.00,https://headsupfortails.com/products/royal-canin-kitten-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/3182550702423_01.jpg?v=1743273642,cat_images\Royal Canin Kitten Dry Cat Food.jpg,Cat Dry Food,Cat
Whiskas Persian (3 In 1) Hair Solution Dry Food For Adult Cat,183.30,https://headsupfortails.com/products/whiskas-hair-related-solution-persian-dry-food-for-adult-cat,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/8906002486120_1.jpg?v=1744608311,cat_images\Whiskas Persian (3 In 1) Hair Solution Dry Food Fo.jpg,Cat Dry Food,Cat
Farmina N&D Functional Quinoa Urinary Duck Cranberry and Chamomile Dry Cat Food,2191.20,https://headsupfortails.com/products/farmina-n-d-functional-quinoa-urinary-duck-cranberry-and-chamomille-dry-cat-food-1-5-kg,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/FarminaN_DFunctionalQuinoaUrinaryDuckCranberryandChamomileDryCatFood.jpg?v=1743766453,cat_images\Farmina N&D Functional Quinoa Urinary Duck Cranber.jpg,Cat Dry Food,Cat
Farmina N&D Lamb & Blueberry Grain Free Adult Dry Cat Food,731.40,https://headsupfortails.com/products/farmina-n-d-grain-free-adult-cat-food-lamb-blueberry,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/FarminaN_DLamb_BlueberryGrainFreeAdultDryCatFood.jpg?v=1743766528,cat_images\Farmina N&D Lamb & Blueberry Grain Free Adult Dry .jpg,Cat Dry Food,Cat
"Farmina N&D Quinoa Weight Management Grain Free Cat Dry Food - Lamb, Broccoli & Asparagus",2191.20,https://headsupfortails.com/products/farmina-n-d-quinoa-weight-management-grain-free-cat-dry-food-lamb-broccoli-asparagus-adult,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/FarminaN_DQuinoaWeightManagementGrainFreeCatDryFood-Lamb_Broccoli_Asparagus.jpg?v=1743766435,cat_images\Farmina N&D Quinoa Weight Management Grain Free Ca.jpg,Cat Dry Food,Cat
Me-O Mackerel Dry Cat Food,165.00,https://headsupfortails.com/products/me-o-adult-cat-food-mackerel-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Me-OMackerelDryCatFood.jpg?v=1636374334,cat_images\Me-O Mackerel Dry Cat Food.jpg,Cat Dry Food,Cat
Me-O Adult Gourmet Dry Cat Food - 1.1 kg,440.00,https://headsupfortails.com/products/me-o-adult-gourmet-dry-cat-food-1-2-kg,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Me-OAdultGourmetDryCatFood-1.2kg.png?v=1636373938,cat_images\Me-O Adult Gourmet Dry Cat Food - 1.1 kg.jpg,Cat Dry Food,Cat
Me-O Salmon Adult Dry Cat Food,440.00,https://headsupfortails.com/products/me-o-adult-cat-food-salmon-available-in-multiple-sizes,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/Me-OSalmonAdultDryCatFood.jpg?v=1636374445,cat_images\Me-O Salmon Adult Dry Cat Food.jpg,Cat Dry Food,Cat
Royal Canin Mother And Babycat Dry Cat Food,524.00,https://headsupfortails.com/products/royal-canin-mother-and-babycat-dry-cat-food,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/3182550930888_01.jpg?v=1743273541,cat_images\Royal Canin Mother And Babycat Dry Cat Food.jpg,Cat Dry Food,Cat
Beaphar Lactol Milk Replacement Powder Dry Food For New Born Kitten,1150.00,https://headsupfortails.com/products/beaphar-lactol-new-born-milk-replacement-powder-dry-food-for-kitten,https://cdn.shopify.com/s/files/1/0086/0795/7054/files/Frame106723694_1_1800x1800copy.jpg?v=1736932207,cat_images\Beaphar Lactol Milk Replacement Powder Dry Food Fo.jpg,Cat Dry Food,Cat
Me-O Kitten Ocean Fish Dry Cat Food,960.00,https://headsupfortails.com/products/me-o-kitten-ocean-fish-cat-food-2-8-kg,https://cdn.shopify.com/s/files/1/0086/0795/7054/products/ME-OKittenOceanFishDryCatFood.jpg?v=1636463071,cat_images\Me-O Kitten Ocean Fish Dry Cat Food.jpg,Cat Dry Food,Cat
